FID,lamp_post_info_id,parent_id,department_id,responsible_id,lamp_status_id,lamp_survey_id,lamp_post_type_id,lamp_cover_type_id,single_tag_lamp_type_id,lamp_post_code,geom,color_code,longitude,latitude,iot_control_id,lux,lamp_survey_name,district_name,lamp_post_type_name
bma_streetlight.fid-122492c5_19f42063c6e_-2c2a,912328,703352,2,33,1,2,1,1,3,lamp-ID-06cac5eb-320f-48a8-bb92-28cafe9bc057,POINT (13.746923 100.519364),#9D5A9B,100.5194,13.7469,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c29,499090,499090,2,33,1,1,2,1,10,lamp-ID-46f3a333-dd95-414a-b0ee-83297b379aa6,POINT (13.728900752223277 100.54125328777792),#ABABAB,100.5413,13.7289,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c28,895305,512680,1,3,1,2,2,1,3,lamp-ID-e4e87bb8-7722-4ae1-8dfb-5148a53aa69d,POINT (13.732924 100.528753),#9D5A9B,100.5288,13.7329,1,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c27,576133,576133,2,33,1,1,2,1,1,lamp-ID-4f17291e-8296-46ec-a3d4-d4a23313b5d2,POINT (13.725973954902138 100.55141134524364),#E3525B,100.5514,13.726,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c26,895144,499455,1,3,1,2,2,1,3,lamp-ID-428f6711-0f69-47ff-911c-de99697f9fea,POINT (13.728719 100.538383),#9D5A9B,100.5384,13.7287,1,27,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c25,471976,471976,2,33,1,1,2,1,10,lamp-ID-2f107709-ed4a-4ea4-9166-a106d60dc559,POINT (13.734042509967114 100.53987966371619),#ABABAB,100.5399,13.734,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c24,702581,702581,2,33,1,1,2,1,2,lamp-ID-d06d76dc-4423-4c1c-a144-2dc58ca83ce2,POINT (13.737380625362098 100.52490099836726),#16A3D4,100.5249,13.7374,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c23,912525,532923,2,33,1,2,1,1,3,lamp-ID-0116c9bd-cefb-4456-938d-62048345416e,POINT (13.74386 100.521536),#9D5A9B,100.5215,13.7439,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c22,428254,428254,1,3,1,1,2,1,10,lamp-ID-81a851d9-8b21-4630-8cba-7c4edd1ef483,POINT (13.744827413277024 100.53582366436696),#ABABAB,100.5358,13.7448,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c21,432182,432182,2,33,1,1,2,1,10,lamp-ID-630ec0a6-a5cc-43e4-bb7f-ffcbf70b1972,POINT (13.729799784850142 100.54393664754741),#ABABAB,100.5439,13.7298,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c20,698165,698165,2,33,1,1,2,1,10,lamp-ID-94bb1c2a-fe83-420b-966e-d3debf3bcd72,POINT (13.743177384081061 100.52720941046576),#ABABAB,100.5272,13.7432,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c1f,860411,569910,1,3,1,2,9,1,3,lamp-ID-00302eee-ea01-4af9-8e9c-9023c81bfacb,POINT (13.741935 100.547277),#9D5A9B,100.5473,13.7419,1,,มี,ปทุมวัน,เสา คสล. กิ่งคู่ขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c1e,836379,571615,1,3,1,2,2,1,3,lamp-ID-160bb72a-ea1a-4e32-8103-ea56f1c72ddc,POINT (13.73784 100.534658),#9D5A9B,100.5347,13.7378,1,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c1d,694687,694687,2,33,1,2,1,1,3,lamp-ID-ab1861bd-be80-431e-9b8b-137b62382bfb,POINT (13.7378342527887 100.55074382667641),#9D5A9B,100.5507,13.7378,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c1c,424003,424003,2,33,1,2,1,1,3,lamp-ID-c4daaae8-724e-4a82-add9-95e8ef78c54c,POINT (13.74335079284092 100.54955012070369),#9D5A9B,100.5496,13.7434,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c1b,878649,629490,2,33,1,2,1,1,3,lamp-ID-b8e596ca-7a5d-4a81-9b53-9c77911252e1,POINT (13.734993728089087 100.54923606864104),#9D5A9B,100.5492,13.735,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c1a,864162,650356,2,33,1,2,1,1,3,lamp-ID-59ae9a2e-a17d-4c5b-87aa-6d694754f2bc,POINT (13.741511 100.51787),#9D5A9B,100.5179,13.7415,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2c19,469857,469857,1,3,1,1,2,1,10,lamp-ID-e2b0b34c-b077-4832-a316-c32e32662f0c,POINT (13.732069944832265 100.54562386014962),#ABABAB,100.5456,13.7321,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2c18,452008,452008,2,33,1,1,2,1,1,lamp-ID-6f3e6db8-7b33-42a4-83ce-d00bda7798e2,POINT (13.750971116197924 100.52163390212407),#E3525B,100.5216,13.751,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
